Destination,Location,Crowd_Level,Weather,Type,Avg_Cost,Month
Goa,India,High,Sunny,Beach,15000,December
Jaipur,India,Medium,Clear,Heritage,10000,December
Kerala,India,Low,Rainy,Nature,12000,December
Manali,India,Medium,Cold,Mountain,13000,January
Delhi,India,High,Hot,City,9000,May
Shimla,India,Low,Cold,Mountain,11000,January
Agra,India,Medium,Clear,Heritage,8000,November
Rishikesh,India,Low,Pleasant,Adventure,7000,March
Udaipur,India,Medium,Sunny,Heritage,11000,October
Andaman,India,Low,Sunny,Beach,20000,February